,home_team_api_id,away_team_api_id,home_team_mean_rating,away_team_mean_rating,home_top_players,away_top_players,AVG_bet_H,AVG_bet_A_D,h_5_games_pts,a_5_games_pts,h_only_10_games_pts,a_only_10_games_pts,final_result
247,9987,9984,71.22727272727273,68.27272727272727,0,0,1.66,2.1437500000000003,9,6,22,11,0
248,8342,9987,71.68181818181819,70.5,0,0,1.7433333333333334,1.5604166666666666,11,9,27,10,0
249,9985,8635,71.63636363636364,73.86363636363636,0,0,2.9299999999999997,2.435416666666667,3,9,15,18,1
250,9993,9991,67.45454545454545,70.81818181818181,0,0,3.058333333333333,1.3295833333333336,12,8,19,14,0
251,9986,1773,64.13636363636364,66.77272727272727,0,0,2.158333333333333,1.6479166666666665,4,6,1,8,0
252,10000,9984,68.54545454545455,66.9090909090909,0,0,1.7833333333333334,1.5333333333333332,9,3,19,8,1
253,9994,9989,70.77272727272727,65.72727272727273,0,0,1.68,2.079166666666666,4,6,19,11,0
254,8203,8571,68.5,67.5,0,0,2.05,2.2874999999999996,6,10,15,11,0
255,8475,9998,64.5909090909091,66.54545454545455,0,0,2.533333333333333,1.63,2,4,2,6,0
256,8635,8475,73.36363636363636,65.0,0,0,1.2216666666666667,2.1437500000000003,8,3,28,1,1
257,9987,9993,70.5,67.72727272727273,0,0,1.4966666666666668,1.3895833333333334,9,13,23,9,1
258,9991,8571,70.81818181818181,67.5,0,0,1.5350000000000001,1.9845833333333331,6,10,18,14,0
259,10000,9994,67.95454545454545,70.77272727272727,0,0,1.9516666666666664,1.355833333333333,9,5,22,14,0
260,1773,8342,66.77272727272727,71.9090909090909,0,0,4.288333333333334,1.8,8,9,10,15,1
261,9989,9986,66.04545454545455,63.63636363636363,0,0,1.8733333333333337,2.310416666666667,4,4,10,6,0
262,9998,9985,66.0909090909091,70.5,0,0,2.8250000000000006,2.2729166666666667,4,3,12,13,1
263,9984,8203,67.36363636363636,67.77272727272727,0,0,2.283333333333333,2.00125,3,6,9,11,0
264,8342,9994,71.68181818181819,70.77272727272727,0,0,1.5233333333333334,1.4945833333333332,6,8,28,16,0
